EQPTNAME,KW,STATR_VOL,STATR_CUR,ROTOR_VOL,ROTOR_CUR,SPEED,MAKE,MNTNG,DE,NDE,FRAME,AREA,LOCATION,COUPLING,REMARKS
KA4 CONVEYOR MOTOR,37,415,67,0,0,1460,GEC,FOOT,6313,6313,225S,BF1,LHS,NO DATA,NO DATA
KM1-1 FINES CONVEYOR,37,415,54.5,0,0,980,USSR,FOOT,2314K,70-314,BA081-6-T2,BF1,LHS,NO DATA,NO DATA
KM1-2 FINES CONVEYOR,37,415,54.5,0,0,980,USSR,FOOT,2314K,70-314,BA081-6-T2,BF1,LHS,NO DATA,NO DATA
KM1-3 FINES CONVEYOR,37,415,54.5,0,0,980,USSR,FOOT,2314K,70-314,BA081-6-T2,BF1,LHS,NO DATA,NO DATA
KM1-4 FINES CONVEYOR,37,415,54.5,0,0,980,USSR,FOOT,2314K,70-314,BA081-6-T2,BF1,LHS,NO DATA,NO DATA
HYDRAULIC PUMP MOTOR-1,3.7,415,7.9,0,0,1430,SMNS,FOOT,NO DATA,NO DATA,ILA2066-4,BF1,LHS,NO DATA,NO DATA
HYDRAULIC PUMP MOTOR-2,3.7,415,7.9,0,0,1430,SMNS,FOOT,NO DATA,NO DATA,ILA2066-4,BF1,LHS,NO DATA,NO DATA
DELIVERY VALVE-554,0.37,415,1.1,0,0,910,CGL,FLAN,6304Z,6304Z,D80D,BF1,NO DATA,NO DATA,NO DATA
DELIVERY VALVE-555,0.37,415,1.1,0,0,910,CGL,FLAN,6304Z,6304Z,D80D,BF1,NO DATA,NO DATA,NO DATA
DELIVERY VALVE-556,0.37,415,1.1,0,0,910,CGL,FLAN,6304Z,6304Z,D80D,BF1,NO DATA,NO DATA,NO DATA
SUMP MOTOR-566,5.5,415,11.7,0,0,1440,GEC,FOOT,6208Z,6208Z,132M,BF1,LHS,NO DATA,NO DATA
SUMP MOTOR-567,5.5,415,11.7,0,0,1440,GEC,FOOT,6208Z,6208Z,132M,BF1,LHS,NO DATA,NO DATA
LANCE HOIST MOTOR,1.1,415,2.6,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,MRC 360,BF1,NO DATA,NO DATA,NO DATA
SLOTTING M/C,9.3,415,18.8,0,0,1460,NGEF,FOOT,6310C3,6310C3,AM160M4,BF1,NO DATA,NO DATA,NO DATA
RAPID MOTOR-SLOTTING M/C,1.1,415,2.5,0,0,1400,NGEF,FLAN,6205ZC3,6205ZC3,AM90S4,BF1,TOP,NO DATA,NO DATA
COOLANT MOTOR-SLOTING M/C,1,415,0.64,0,0,2800,ELEC & GEN ENGG,FOOT,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
MAIN MOTOR-MAIN LATHE,37,415,69,0,0,1460,NGEF,FLAN,6313C3,6313C3,AJ200L4R,BF1,TOP,NO DATA,NO DATA
AUX MOTOR-CENTRAL LATHE,0.37,415,1,0,0,1400,NGEF,FLAN,6204ZC3,6204ZC3,AM80K4,BF1,TOP,NO DATA,NO DATA
SPINDLE MOTOR-RARIAL DRILL M/C,3.6,415,7.8,0,0,1400,BBL,FLAN,NO DATA,NO DATA,ILA20664/2,BF1,TOP,NO DATA,NO DATA
ARM TRAVERSE MOTOR-RADIAL M/C,1.6,415,3.45,0,0,1410,BBL,FLAN,NO DATA,NO DATA,ILA2046-4,BF1,TOP,NO DATA,NO DATA
HYDRAULIC PUMP MOTOR-RAIAL M/C,0.37,415,1.08,0,0,1380,BBL,FLAN,NO DATA,NO DATA,ILA2026-4,BF1,TOP,NO DATA,NO DATA
COOLANT MOTOR-RADIAL DRILL M/C,0.7,415,0.34,0,0,2800,ALLIED ELECT,FLAN,NO DATA,NO DATA,CP 1/170,BF1,TOP,NO DATA,NO DATA
MAIN MOTOR-COLUMN DRILL M/C,3.6,415,8.1,0,0,1445,NGEF,FLAN,6306C3,6306C3,AM112M4/2,BF1,TOP,NO DATA,NO DATA
PEDESTAL GRINDER MOTOR(EXHAUST,0.75,415,1.5,0,0,2800,NGEF,FOOT,6204ZC3,6204ZC3,AM80N2,BF1,RHS,NO DATA,NO DATA
PEDESTAL GRINDER DRIVE MOTOR,3.7,415,0,0,0,1630,ELECT GENERAL,NO DATA,NO DATA,NO DATA,DD16,BF1,NO DATA,NO DATA,NO DATA
MAIN MOTOR-VERTICAL HYD PRESS,7.5,415,15,0,0,1440,KEC,FLAN,6308,6208,BKH132,BF1,TOP,NO DATA,NO DATA
MAIN MOTOR-1 LATHE,11,415,20.5,0,0,1450,CGL,FOOT,6309,6309,ND160M,BF1,NO DATA,NO DATA,NO DATA
MAIN MOTOR-2,11,415,20.5,0,0,1450,HBB,FOOT,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
SPINDLE MOTOR-PILLAR DRILL M/C,1.5,415,3.2,0,0,1440,EIFCO,FOOT,6306,6206,112,BF1,LHS,NO DATA,NO DATA
COOLANT MOTOR-PILLAR DRILL M/C,0.09,415,0.3,0,0,2860,EIFCO,FLAN,NO DATA,NO DATA,NO DATA,BF1,TOP,NO DATA,NO DATA
DRIVE MOTOR-PIPE THREAD M/C,2.2,415,5,0,0,1430,BBL,FLAN,6206,6206,"100L,ILA2054-4",BF1,TOP,NO DATA,NO DATA
COOLANT MOTOR-PIPE THREAD M/C,0.07,415,0.3,0,0,2800,ALLIED ELECTRIC,FLAN,NO DATA,NO DATA,KC 1/120,BF1,TOP,NO DATA,NO DATA
MAIN MOTOR-SHAPING M/C,7.5,415,14.5,0,0,1440,KEC,FOOT,6308,6208,KH132,BF1,RHS,NO DATA,NO DATA
MAIN MOTOR-BENCH GRINDER,0.5,415,1.4,0,0,2860,EIFCO,FLAN,NO DATA,NO DATA,BGM/MD,BF1,TOP,NO DATA,NO DATA
LANCE HOIST MOTOR,1.1,415,2.6,0,0,1400,WARSTEINER W.G,FLAN,NO DATA,NO DATA,MRC360,BF1,RHS,NO DATA,NO DATA
LANCE HOIST MOTOR,1.1,415,2.6,0,0,1400,WARSTEINER W.G,FLAN,NO DATA,NO DATA,MRC360,BF1,RHS,NO DATA,NO DATA
LANCE HOIST MOTOR,1.1,415,2.6,0,0,1400,WARSTEINER W.G,FLAN,NO DATA,NO DATA,MRC360,BF1,RHS,NO DATA,NO DATA
LANCE HOIST MOTOR,1.1,415,2.6,0,0,1400,WARSTEINER W.G,FLAN,NO DATA,NO DATA,MRC360,BF1,RHS,NO DATA,NO DATA
LANCE HOIST MOTOR,1.1,415,2.6,0,0,1400,WARSTEINER W.G,FLAN,NO DATA,NO DATA,MRC360,BF1,RHS,NO DATA,NO DATA
LANCE HOIST MOTOR,1.1,415,2.6,0,0,1400,WARSTEINER W.G,FLAN,NO DATA,NO DATA,MRC360,BF1,RHS,NO DATA,NO DATA
LANCE HOIST MOTOR,1.1,415,2.6,0,0,1400,WARSTEINER W.G,FLAN,NO DATA,NO DATA,MRC360,BF1,RHS,NO DATA,NO DATA
LANCE HOIST MOTOR,1.1,415,2.6,0,0,1400,WARSTEINER W.G,FLAN,NO DATA,NO DATA,MRC360,BF1,RHS,NO DATA,NO DATA
LANCE TILT MOTOR-5,5.5,415,11,0,0,1440,KATT W.G,FLAN,6308,6308,FN132S,BF1,RHS,NO DATA,NO DATA
LANCE TILT MOTOR-1,5.5,415,11,0,0,1440,KATT W.G,FLAN,6308,6308,FN132S,BF1,RHS,NO DATA,NO DATA
LANCE TILT MOTOR-2,5.5,415,11,0,0,1440,KATT W.G,FLAN,6308,6308,FN132S,BF1,RHS,NO DATA,NO DATA
LANCE TILT MOTOR-3,5.5,415,11,0,0,1440,KATT W.G,FLAN,6308,6308,FN132S,BF1,RHS,NO DATA,NO DATA
LANCE TILT MOTOR-4,5.5,415,11,0,0,1440,KATT W.G,FLAN,6308,6308,FN132S,BF1,RHS,NO DATA,NO DATA
LANCE TILT MOTOR-6,5.5,415,11,0,0,1440,KATT W.G,FLAN,6308,6308,FN132S,BF1,RHS,NO DATA,NO DATA
LANCE TILT MOTOR-7,5.5,415,11,0,0,1440,KATT W.G,FLAN,6308,6308,FN132S,BF1,RHS,NO DATA,NO DATA
LANCE TILT MOTOR-8,5.5,415,11,0,0,1440,KATT W.G,FLAN,6308,6308,FN132S,BF1,RHS,NO DATA,NO DATA
SPLASH PROTECTION RING MOTOR-8,3.7,415,7,0,0,950,BBL,FOOT,6308,6308,132S,BF1,RHS,NO DATA,NO DATA
SPLASH PROTECTION RING MOTOR-1,3.7,415,7,0,0,950,BBL,FOOT,6308,6308,132S,BF1,RHS,NO DATA,NO DATA
SPLASH PROTECTION RING MOTOR-2,3.7,415,7,0,0,950,BBL,FOOT,6308,6308,132S,BF1,RHS,NO DATA,NO DATA
SPLASH PROTECTION RING MOTOR-3,3.7,415,7,0,0,950,BBL,FOOT,6308,6308,132S,BF1,RHS,NO DATA,NO DATA
SPLASH PROTECTION RING MOTOR-4,3.7,415,7,0,0,950,BBL,FOOT,6308,6308,132S,BF1,RHS,NO DATA,NO DATA
SPLASH PROTECTION RING MOTOR-5,3.7,415,7,0,0,950,BBL,FOOT,6308,6308,132S,BF1,RHS,NO DATA,NO DATA
SPLASH PROTECTION RING MOTOR-6,3.7,415,7,0,0,950,BBL,FOOT,6308,6308,132S,BF1,RHS,NO DATA,NO DATA
SPLASH PROTECTION RING MOTOR-7,3.7,415,7,0,0,950,BBL,FOOT,6308,6308,132S,BF1,RHS,NO DATA,NO DATA
DAMPER ACTUATOR MOTOR-1,1.1,415,2.9,0,0,1415,BBL,FLAN,NO DATA,NO DATA,NO DATA,BF1,LHS,NO DATA,NO DATA
DAMPER ACTUATOR MOTOR-2,1.1,415,2.9,0,0,1415,BBL,FLAN,NO DATA,NO DATA,NO DATA,BF1,LHS,NO DATA,NO DATA
DAMPER ACTUATOR MOTOR-3,1.1,415,2.9,0,0,1415,BBL,FLAN,NO DATA,NO DATA,NO DATA,BF1,LHS,NO DATA,NO DATA
DAMPER ACTUATOR MOTOR-4,1.1,415,2.9,0,0,1415,BBL,FLAN,NO DATA,NO DATA,NO DATA,BF1,LHS,NO DATA,NO DATA
DAMPER ACTUATOR MOTOR-5,1.1,415,2.9,0,0,1415,BBL,FLAN,NO DATA,NO DATA,NO DATA,BF1,LHS,NO DATA,NO DATA
DAMPER ACTUATOR MOTOR-6,1.1,415,2.9,0,0,1415,BBL,FLAN,NO DATA,NO DATA,NO DATA,BF1,LHS,NO DATA,NO DATA
DAMPER ACTUATOR MOTOR-7,1.1,415,2.9,0,0,1415,BBL,FLAN,NO DATA,NO DATA,NO DATA,BF1,LHS,NO DATA,NO DATA
DAMPER ACTUATOR MOTOR-8,1.1,415,2.9,0,0,1415,BBL,FLAN,NO DATA,NO DATA,NO DATA,BF1,LHS,NO DATA,NO DATA
CENTRIFUGAL PUMP MOTOR-1,5.5,415,10.2,0,0,1435,NGEF,FOOT,6308C3,6308C3,AM132M24,BF1,RHS,NO DATA,NO DATA
CENTRIFUGAL FAN MOTOR-2,5.5,415,10.2,0,0,1435,NGEF,FOOT,6308C3,6308C3,AM132M24,BF1,RHS,NO DATA,NO DATA
SCREW CONVEYOR MOTOR-1,1.5,415,3.83,0,0,1410,BBL,FLAN,6205,6205,90L,BF1,RHS,NO DATA,NO DATA
SCREW CONVEYOR MOTOR-2,2.2,415,5.16,0,0,1430,BBL,FLAN,6206,6206,100L,BF1,RHS,NO DATA,NO DATA
SCREW CONVEYOR MOTOR-3,2.2,415,5.16,0,0,1430,BBL,FLAN,6206,6206,100L,BF1,RHS,NO DATA,NO DATA
SCREW CONVEYOR MOTOR-4,2.2,415,5.16,0,0,1430,BBL,FLAN,6206,6206,100L,BF1,RHS,NO DATA,NO DATA
SCREW CONVEYOR-5,2.2,415,5.16,0,0,1430,BBL,FLAN,6206,6206,100L,BF1,RHS,NO DATA,NO DATA
SCREW CONVEYOR MOTOR-6,2.2,415,5.16,0,0,1430,BBL,FLAN,6206,6206,100L,BF1,RHS,NO DATA,NO DATA
ROTARY FEEDER MOTOR-1,1.5,415,3.4,0,0,1405,CGL,FLAN,6205,6205,ND90LC,BF1,RHS,NO DATA,NO DATA
ROTARY FEEDER MOTOR-2,1.5,415,3.4,0,0,1410,BBL,FLAN,6205,6205,90L,BF1,RHS,NO DATA,NO DATA
ROTARY FEEDER MOTOR-3,1.5,415,3.4,0,0,1410,CGL,FLAN,6205,6205,ND90LC,BF1,RHS,NO DATA,NO DATA
ROTARY FEEDER MOTOR-4,1.5,415,3.4,0,0,1405,CGL,FLAN,6205,6205,ND90LC,BF1,RHS,NO DATA,NO DATA
ROTARY FEEDER MOTOR-5,1.5,415,3.4,0,0,1410,BBL,FLAN,6205,6205,ND90LC,BF1,RHS,NO DATA,NO DATA
ROTARY FEEDER MOTOR,0.37,415,1.1,0,0,1395,CGL,FOOT,6205,6205,NO DATA,BF1,TOP,NO DATA,NO DATA
WATER PUMP MOTOR,5.5,415,10.5,0,0,2850,KEC,FOOT,6308,6208,KH132S,BF1,RHS,NO DATA,NO DATA
EXHAUST MOTORS,2.2,415,4.55,0,0,2850,BBL,FOOT,6205,6205,90L,BF1,RHS,NO DATA,NO DATA
HMDP DASHPAR MOTOR,1.1,415,0.74,0,0,1475,BBL,FLAN,6205,6205,90L,BF1,NO DATA,NO DATA,NO DATA
HMDP INLET DUSTER,2.2,415,5.16,0,0,1430,BBL,FOOT,6206,6206,100L,BF1,NO DATA,NO DATA,NO DATA
HMDP ROTARY FEEDER,1.5,415,3.55,0,0,1410,BBL,FLAN,NO DATA,NO DATA,100L,BF1,NO DATA,NO DATA,NO DATA
HMDP UNLOADING STAT MOTOR,3.7,415,7.3,0,0,1440,NGEF,FLAN,6306C3,6306C3,AM112M4,BF1,NO DATA,NO DATA,NO DATA
ROTARY FEEDER,0.37,415,1.08,0,0,1380,BBL,FLAN,NO DATA,NO DATA,ILA2026-4C,BF1,NO DATA,NO DATA,NO DATA
1T ARMSEL PROCESS LINE TELPHER,0.37,415,1.05,0,0,1370,NGEF,NO DATA,NO DATA,NO DATA,AM71N4,CRN,NO DATA,NO DATA,NO DATA
MAIN HOIST MOTOR,45,415,115,320,88,580,AEI,FOOT,NO DATA,NO DATA,KS280M,PCM,LHS,NO DATA,NO DATA
C.T.MOTOR,4.31,415,10,0,0,970,AEI,FOOT,NO DATA,NO DATA,160M,PCM,TOP,NO DATA,NO DATA
L.T.MOTOR-1,41,415,76,300,86,970,AEI,FOOT,NO DATA,NO DATA,KS250M,PCM,LHS,NO DATA,NO DATA
L.T.MOTOR-2,41,415,76,300,86,970,AEI,FOOT,NO DATA,NO DATA,KS250M,PCM,RHS,NO DATA,NO DATA
MAIN HOIST MOTOR,45,415,115,320,88,580,AEI,FOOT,NO DATA,NO DATA,KS280M,PCM,LHS,NO DATA,NO DATA
C.T.MOTOR,4.31,415,10,0,0,970,AEI,FOOT,NO DATA,NO DATA,160M,PCM,TOP,NO DATA,NO DATA
L.T.MOTOR-1,41,415,76,300,86,970,AEI,FOOT,NO DATA,NO DATA,KS250M,PCM,LHS,NO DATA,NO DATA
L.T.MOTOR-2,41,415,76,300,86,970,AEI,FOOT,NO DATA,NO DATA,KS250M,PCM,RHS,NO DATA,NO DATA
MAIN HOIST MOTOR,45,415,115,320,88,580,AEI,FOOT,NO DATA,NO DATA,KS280M,PCM,LHS,NO DATA,NO DATA
C.T.MOTOR,4.31,415,10,0,0,970,AEI,FOOT,NO DATA,NO DATA,160M,PCM,TOP,NO DATA,NO DATA
L.T.MOTOR-1,41,415,76,300,86,970,AEI,FOOT,NO DATA,NO DATA,KS250M,PCM,LHS,NO DATA,NO DATA
L.T.MOTOR-2,41,415,76,300,86,970,AEI,FOOT,NO DATA,NO DATA,KS250M,PCM,RHS,NO DATA,NO DATA
MAIN HOIST MOTOR,45,415,115,NO DATA,NO DATA,580,AEI,FOOT,NO DATA,NO DATA,KS280M,PCM,LHS,NO DATA,NO DATA
C.T.MOTOR,7.5,415,10,NO DATA,NO DATA,960,AEI,FOOT,NO DATA,NO DATA,KHX+160MLC6,PCM,TOP,NO DATA,NO DATA
L.T.MOTOR-1,55,415,76,NO DATA,NO DATA,980,AEI,FOOT,NO DATA,NO DATA,KHX+280SMC6,PCM,LHS,NO DATA,NO DATA
L.T.MOTOR-2,55,415,76,NO DATA,NO DATA,980,AEI,FOOT,NO DATA,NO DATA,KHX+280SMC6,PCM,RHS,NO DATA,NO DATA
HOIST,75,415,125,NO DATA,NO DATA,595,NO DATA,FOOT,NO DATA,NO DATA,M2BA 315MLB10,PCM,NO DATA,NO DATA,NO DATA
GRAB,37,415,70,NO DATA,NO DATA,595,NO DATA,FOOT,NO DATA,NO DATA,M2BA315SMA10,PCM,NO DATA,NO DATA,NO DATA
CT,15,415,28,NO DATA,NO DATA,965,NO DATA,FOOT,NO DATA,NO DATA,KHX+180MLC6,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-1,22,415,40,NO DATA,NO DATA,950,NO DATA,FOOT,NO DATA,NO DATA,KHX+200MLC6,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-2,22,415,40,NO DATA,NO DATA,950,NO DATA,FOOT,NO DATA,NO DATA,KHX+200MLC6,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-3,22,415,40,NO DATA,NO DATA,950,NO DATA,FOOT,NO DATA,NO DATA,KHX+200MLC6,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-4,22,415,40,NO DATA,NO DATA,950,NO DATA,FOOT,NO DATA,NO DATA,KHX+200MLC6,PCM,NO DATA,NO DATA,NO DATA
HOIST,67,415,125,362,115.2,588,NO DATA,FOOT,NO DATA,NO DATA,TS315M,PCM,NO DATA,NO DATA,NO DATA
GRAB,35,415,70,363,60,588,NO DATA,FOOT,NO DATA,NO DATA,TS280SE,PCM,NO DATA,NO DATA,NO DATA
CT,13,415,28,320,26,965,NO DATA,FOOT,NO DATA,NO DATA,TS180LB,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-1,20,415,40,268,47,950,NO DATA,FOOT,NO DATA,NO DATA,TS200LB,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-2,20,415,40,268,47,950,NO DATA,FOOT,NO DATA,NO DATA,TS200LB,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-3,20,415,40,268,47,950,NO DATA,FOOT,NO DATA,NO DATA,TS200LB,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-4,20,415,40,268,47,950,NO DATA,FOOT,NO DATA,NO DATA,TS200LB,PCM,NO DATA,NO DATA,NO DATA
HOIST,67,415,125,362,115.2,588,NO DATA,FOOT,NO DATA,NO DATA,TS315M,PCM,NO DATA,NO DATA,NO DATA
GRAB,35,415,70,363,60,588,NO DATA,FOOT,NO DATA,NO DATA,TS280SE,PCM,NO DATA,NO DATA,NO DATA
CT,13,415,28,320,26,965,NO DATA,FOOT,NO DATA,NO DATA,TS180LB,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-1,20,415,40,268,47,950,NO DATA,FOOT,NO DATA,NO DATA,TS200LB,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-2,20,415,40,268,47,950,NO DATA,FOOT,NO DATA,NO DATA,TS200LB,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-3,20,415,40,268,47,950,NO DATA,FOOT,NO DATA,NO DATA,TS200LB,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-4,20,415,40,268,47,950,NO DATA,FOOT,NO DATA,NO DATA,TS200LB,PCM,NO DATA,NO DATA,NO DATA
HOIST,67,415,125,362,115.2,588,NO DATA,FOOT,NO DATA,NO DATA,TS315M,PCM,NO DATA,NO DATA,NO DATA
GRAB,35,415,70,363,60,588,NO DATA,FOOT,NO DATA,NO DATA,TS280SE,PCM,NO DATA,NO DATA,NO DATA
CT,13,415,28,320,26,965,NO DATA,FOOT,NO DATA,NO DATA,TS180LB,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-1,20,415,40,268,47,950,NO DATA,FOOT,NO DATA,NO DATA,TS200LB,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-2,20,415,40,268,47,950,NO DATA,FOOT,NO DATA,NO DATA,TS200LB,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-3,20,415,40,268,47,950,NO DATA,FOOT,NO DATA,NO DATA,TS200LB,PCM,NO DATA,NO DATA,NO DATA
L.T.MOTOR-4,20,415,40,268,47,950,NO DATA,FOOT,NO DATA,NO DATA,TS200LB,PCM,NO DATA,NO DATA,NO DATA
LT OUT MAIN SPEED,11,415,29,172,42,940,USSR,FOOT,60311,60311,MTH3116T1,BF2,NO DATA,NO DATA,NO DATA
LT OUT SLOW SPEED,4,415,8.9,0,0,330,USSR,FOOT,2311,2311,AP6316T2,BF2,NO DATA,NO DATA,NO DATA
LT INSIDE FAST MOTOR,3,415,17,176,132,890,USSR,FOOT,60216,60216,MTH1116T1,BF2,NO DATA,NO DATA,NO DATA
LT INSIDE SLOW MOTOR,4,415,8.9,0,0,330,USSR,FOOT,2311,2311,AP6316T2,BF2,NO DATA,NO DATA,NO DATA
AUXILARY HOIST MOTOR,22,415,57,240,58,710,USSR,FOOT,60314,60314,4MTH200LB8T1,BF2,NO DATA,NO DATA,NO DATA
MAIN HOIST MOTOR,60,415,131,239,160,570,USSR,FOOT,30-426-20,30-426-20,4MTH280M10,BF2,NO DATA,NO DATA,NO DATA
CROSS TRAVEL MOTOR,11,415,25,172,42,940,USSR,FOOT,60311,60311,MTH3116T1,BF2,NO DATA,NO DATA,NO DATA
COLUMN HOIST MOTOR,15,415,37.5,0,0,695,USSR,FOOT,60314,60314,MTKH4118T1,BF2,NO DATA,NO DATA,NO DATA
LUFFING MOTOR,0.4,415,3.2,0,0,440,USSR,FOOT,2307,307,AP4312T2,BF2,NO DATA,NO DATA,NO DATA
SLEWING MOTOR,0.4,415,3.2,0,0,440,USSR,FOOT,2307,307,AP4312T2,BF2,NO DATA,NO DATA,NO DATA
CANTILEVER HOOK,11,415,30,0,0,700,USSR,FOOT,60311,60311,MTKH3128T1,BF2,NO DATA,NO DATA,NO DATA
LT OUT MAIN SPEED,11,415,25,172,42,940,USSR,FOOT,60311,60311,MTH3116T1,BF2,NO DATA,NO DATA,NO DATA
LT OUT SLOW SPEED,4,415,8.9,0,0,330,USSR,FOOT,2311,311,AP6316T2,BF2,NO DATA,NO DATA,NO DATA
LT INSIDE FAST MOTOR,3,415,17,176,13,890,USSR,FOOT,60216,60216,MTH1116T1,BF2,NO DATA,NO DATA,NO DATA
LT INSIDE SLOW MOTOR,1.4,415,8.9,0,0,330,USSR,FOOT,2311,311,AP6316T2,BF2,NO DATA,NO DATA,NO DATA
AUXILARY HOIST MOTOR,22,415,60,248,57,715,USSR,FOOT,60314,60314,MTH4128T1,BF2,NO DATA,NO DATA,NO DATA
MAIN HOIST MOTOR,60,415,131,239,160,570,USSR,FOOT,30-426-20,30-426-20,4MTH280M10,BF2,NO DATA,NO DATA,NO DATA
CROSS TRAVEL MOTOR,11,415,29,172,42,940,USSR,FOOT,60311,60311,MTH3116T1,BF2,NO DATA,NO DATA,NO DATA
COLUMN HOIST MOTOR,15,415,37.5,0,0,695,USSR,FOOT,60314,60314,MTKH4118T1,BF2,NO DATA,NO DATA,NO DATA
LUFFING MOTOR,0.4,415,3.2,0,0,440,USSR,FOOT,2307,307,AP4312T2,BF2,NO DATA,NO DATA,NO DATA
SLEWING MOTOR,0.4,415,3.2,0,0,440,USSR,FOOT,2307,307,AP4312T2,BF2,NO DATA,NO DATA,NO DATA
CANTILEVER HOOK,11,415,30,0,0,700,USSR,OOT,60311,60311,MTKH3128T1,BF2,NO DATA,NO DATA,NO DATA
PUSHER MOTOR-1,25,415,48,0,0,970,BIECCO LAWRIE,FOOT,6313C3,6313C3,T225M/B,BF2,NO DATA,NO DATA,NO DATA
PUSHER MOTOR-2,25,415,48,0,0,970,BIECCO LAWRIE,FOOT,6313C3,6313C3,T225M/B,BF2,NO DATA,NO DATA,NO DATA
WINCH MOTOR,10,415,23,282,23,720,BIECCO LAWRIE,FOOT,6310,6310,TS180L/A,BF2,NO DATA,NO DATA,NO DATA
PUSHER MOTOR-1,25,415,48,0,0,970,BIECCO LAWRIE,FOOT,6313C3,6313C3,T225M/B,BF2,NO DATA,NO DATA,NO DATA
PUSHER MOTOR-2,25,415,48,0,0,970,BIECCO LAWRIE,FOOT,6313C3,6313C3,T225M/B,BF2,NO DATA,NO DATA,NO DATA
WINCH MOTOR,10,415,23,282,23,720,BIECCO LAWRIE,FOOT,6310,6310,TS180L/A,BF2,NO DATA,NO DATA,NO DATA
PUSHER MOTOR-1,25,415,48,0,0,970,BIECCO LAWRIE,FOOT,6313C3,6313C3,T225M/B,BF2,NO DATA,NO DATA,NO DATA
PUSHER MOTOR-2,25,415,48,0,0,970,BIECCO LAWRIE,FOOT,6313C3,6313C3,T225M/B,BF2,NO DATA,NO DATA,NO DATA
WINCH MOTOR,10,415,23,282,23,720,BIECCO LAWRIE,FOOT,6310,6310,TS180L/A,BF2,NO DATA,NO DATA,NO DATA
PUSHER MOTOR-1,25,415,48,0,0,970,BIECCO LAWRIE,FOOT,6313C3,6313C3,T225M/B,BF2,NO DATA,NO DATA,NO DATA
PUSHER MOTOR-2,25,415,48,0,0,970,BIECCO LAWRIE,FOOT,6313C3,6313C3,T225M/B,BF2,NO DATA,NO DATA,NO DATA
WINCH MOTOR,10,415,23,282,23,720,BIECCO LAWRIE,FOOT,6310,6310,TS180L/A,BF2,NO DATA,NO DATA,NO DATA
ARM ROTATION MOTOR,7.5,415,16,0,0,730,USSR,FOOT,2311,311,BRP160S8T25,BF2,NO DATA,NO DATA,NO DATA
PRESSING MOTOR,22,415,44,0,0,980,USSR,FOOT,2311,70311,BAO726T5,BF2,NO DATA,NO DATA,NO DATA
PISTON MOTOR,75,415,135,0,0,990,USSR,FOOT,2319,319,K0526T5,BF2,NO DATA,NO DATA,NO DATA
ARM ROTATION MOTOR,7.5,415,16,0,0,730,USSR,FOOT,2311,311,BRP160S8T25,BF2,NO DATA,NO DATA,NO DATA
PRESSING MOTOR,22,415,44,0,0,980,USSR,FOOT,2311,70311,BAO726T5,BF2,NO DATA,NO DATA,NO DATA
PISTON MOTOR,75,415,135,0,0,990,USSR,FOOT,2319,319,K0526T5,BF2,NO DATA,NO DATA,NO DATA
ARM ROTATION MOTOR,7.5,415,16,0,0,730,USSR,FOOT,2311,311,BRP160S8T25,BF2,NO DATA,NO DATA,NO DATA
PRESSING MOTOR,22,415,44,0,0,980,USSR,FOOT,2311,70311,BAO726T5,BF2,NO DATA,NO DATA,NO DATA
PISTON MOTOR,75,415,135,0,0,990,USSR,FOOT,2319,319,K0526T5,BF2,NO DATA,NO DATA,NO DATA
ARM ROTATION MOTOR,7.5,415,16,0,0,730,USSR,FOOT,2311,311,BRP160S8T25,BF2,NO DATA,NO DATA,NO DATA
PRESSING MOTOR,22,415,44,0,0,980,USSR,FOOT,2311,70311,BAO726T5,BF2,NO DATA,NO DATA,NO DATA
PISTON MOTOR,75,415,135,0,0,990,USSR,FOOT,2319,319,K0526T5,BF2,NO DATA,NO DATA,NO DATA
ARM ROTATION,7,415,15.2,0,0,888,GEC,FOOT,6309,6309,160L,BF2,NO DATA,NO DATA,NO DATA
CARRIAGE MOTION-A,7,415,15.2,0,0,888,GEC,FOOT,6309,6309,160L,BF2,NO DATA,NO DATA,NO DATA
CARRIAGE MOTION-B,7,415,15.2,0,0,888,GEC,FOOT,6309,6309,160L,BF2,NO DATA,NO DATA,NO DATA
DRILL BORE MOTOR,15,415,31,0,0,930,GEC,FOOT,6310,6310,180L,BF2,NO DATA,NO DATA,NO DATA
