EQPTNAME,KW,STATR_VOL,STATR_CUR,ROTOR_VOL,ROTOR_CUR,SPEED,MAKE,MNTNG,DE,NDE,FRAME,AREA,LOCATION,COUPLING,REMARKS
LIME SPRAYER MOTOR-RHS,15,415,32,0,0,730,CGL,FOOT,6313,6313,E225M,BF1,NO DATA,NO DATA,NO DATA
LIME SPRAYER MOTOR-LHS,15,415,32,0,0,730,CGL,FOOT,6313,6313,E225M,BF1,NO DATA,NO DATA,NO DATA
LIME SPRAYER MOTOR-RHS,15,415,32,0,0,730,CGL,FOOT,6313,6313,E225M,BF1,NO DATA,NO DATA,NO DATA
LIME HOLDING TANK MOTOR-1,3.7,415,8.2,0,0,940,CGL,FOOT,6308,6208,D132S,BF1,NO DATA,NO DATA,NO DATA
LIME HOLDING TANK MOTOR-2,3.7,415,8.2,0,0,940,CGL,FOOT,6308,6208,D132S,BF1,NO DATA,NO DATA,NO DATA
LIME HOLDING TANK MOTOR-3,3.7,415,8.2,0,0,940,CGL,FOOT,6308,6208,D132S,BF1,NO DATA,NO DATA,NO DATA
LIME HOLDING TANK MOTOR-4,3.7,415,8.2,0,0,940,CGL,FOOT,6308,6208,D132S,BF1,NO DATA,NO DATA,NO DATA
LIME SPRAYER MOTOR-LHS,15,415,32,0,0,730,CGL,FOOT,6313,6313,E225M,BF1,NO DATA,NO DATA,NO DATA
LADLE TILTING WINCH MOTOR,40,230,193,0,0,625,KEC,FOOT,NJ317 SKF,NJ317 SKF,KMDC808,BF1,NO DATA,NO DATA,NO DATA
LADLE TILTING WINCH MOTOR,40,230,193,0,0,625,KEC,FOOT,NJ317 SKF,NJ317 SKF,KMDC808,BF1,NO DATA,NO DATA,NO DATA
LADLE TILTING WINCH MOTOR,40,230,193,0,0,625,KEC,FOOT,NJ317 SKF,NJ317 SKF,KMDC808,BF1,NO DATA,NO DATA,NO DATA
LADLE TILTING WINCH MOTOR,40,230,193,0,0,625,KEC,FOOT,NJ317 SKF,NJ317 SKF,KMDC808,BF1,NO DATA,NO DATA,NO DATA
LUBRICATION MOTOR-1,1.1,415,2.75,0,0,1415,BBL,FOOT,6205,6205,90S,BF1,NO DATA,NO DATA,NO DATA
LUBRICATION MOTOR-2,1.1,415,2.75,0,0,1415,BBL,FOOT,6205,6205,90S,BF1,NO DATA,NO DATA,NO DATA
LUBRICATION MOTOR-3,1.1,415,2.75,0,0,1415,BBL,FOOT,6205,6205,90S,BF1,NO DATA,NO DATA,NO DATA
LUBRICATION MOTOR-4,1.1,415,2.75,0,0,1415,BBL,FOOT,6205,6205,90S,BF1,NO DATA,NO DATA,NO DATA
TUNNEL VENTILLATION MOTOR,7.7,415,7.7,0,0,950,NGEF,FOOT,6308,6308,AMW132MKZ6,BF1,NO DATA,NO DATA,NO DATA
TUNNEL VENTILLATION MOTOR,3.7,415,7.7,0,0,950,NGEF,FOOT,6308,6308,AMW132MKZ6,BF1,NO DATA,NO DATA,NO DATA
WAGON SHUNTING WINCH-I.TR,25,415,44,0,0,960,CGL,FOOT,NU315,6315,E250M,BF1,NO DATA,NO DATA,NO DATA
WAGON SHUNTING WINCH-O.TR,25,415,44,0,0,960,CGL,FOOT,NU315,6315,E250M,BF1,NO DATA,NO DATA,NO DATA
WAGON SHUNTING WINCH-I.TR,25,415,44,0,0,960,CGL,FOOT,NU315,6315,E250M,BF1,NO DATA,NO DATA,NO DATA
WAGON SHUNTING WINCH-O.TR,25,415,44,0,0,960,CGL,FOOT,NU315,6315,E250M,BF1,NO DATA,NO DATA,NO DATA
AIR BLOWER FOR SCRUBER,15,415,27,0,0,1440,CGL,FOOT,6310,6310,D180M,BF1,NO DATA,NO DATA,NO DATA
AIR BLOWER FOR SCRUBER,15,415,27,0,0,1440,CGL,FOOT,6310,6310,D180M,BF1,NO DATA,NO DATA,NO DATA
VENTILATION MOTOR FOR LPP,3.7,415,7.9,0,0,1430,CGL,FOOT,6306,6206,ND112M,BF1,NO DATA,NO DATA,NO DATA
VENTILATION MOTOR FOR LPP,3.7,415,7.9,0,0,1430,CGL,FOOT,6306,6206,ND112M,BF1,NO DATA,NO DATA,NO DATA
CLASSIFIER MOTOR-1,1.1,415,2.7,0,0,1410,CGL,FOOT,6205,6205,ND90S,BF1,NO DATA,NO DATA,NO DATA
CLASSIFER MOTOR-2,1.1,415,2.7,0,0,1410,CGL,FOOT,6205,6205,ND90S,BF1,NO DATA,NO DATA,NO DATA
LIME SPRAYER TANK MOTOR-1,7.2,415,15,0,0,1440,CGL,FOOT,6309,6309,D160M,BF1,NO DATA,NO DATA,NO DATA
LIME SPRAYER TANK MOTOR-2,7.2,415,15,0,0,1440,CGL,FOOT,6309,6309,D160M,BF1,NO DATA,NO DATA,NO DATA
