Title,drwg_link,icon
BF2 Tuyer NOSE booster TNB PUMP,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-tuyere-nose-pump-drive-wiring.pdf,https://cdn3.iconfinder.com/data/icons/rcons-plumbing-and-heating-supplies/64/pump_water_electric_plumbing_heating-256.png
BF2 DOOM COOLING VALVE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-doom-cooling-valve.pdf,https://cdn2.iconfinder.com/data/icons/aquarium-equipment/512/Aquarium-Equipment_filter-water-pump-36-256.png
BF2 STOCK ROD,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stock-rod-panel-wiring.pdf,https://cdn4.iconfinder.com/data/icons/architecture-15/64/road_drill-drilling-machine-construction-256.png
BF2 CONCORD WINCH,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-concurd_winch.pdf,https://cdn4.iconfinder.com/data/icons/offroad-accessories-filled-line/48/Front_Winch-2-256.png
BF2 PUSHER CAR 5 & 6,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-pusher-car-5-6.pdf,https://cdn1.iconfinder.com/data/icons/transport-trains/98/locomotive_diesel-256.png
BF2 PUSHER CAR 7&8,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-pusher-car-78.pdf,https://cdn3.iconfinder.com/data/icons/baby-and-kids-3-2/512/104-256.png
BF2 SGP VACCUM CONTACTOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-sgp-vaccum-contactor.pdf,https://i.stack.imgur.com/fnEj4.gif
BF2 RING CRANES,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-ring_crane_asbuilt.pdf,https://cdn1.iconfinder.com/data/icons/engineer-construction/512/crane_hook_construction_lift-256.png
BF2 CAST HOUSE CONTROL DESK,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-casthouse-control-desk.pdf,https://cdn3.iconfinder.com/data/icons/prettycons-delivery-vol-1-flat/58/21-Control_Station-delivery_package_track_receive-128.png
BF2 7PCY PAUL WURTH PDB,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-7pcy_pdb.pdf,https://mikmargracindo.com/wp-content/uploads/2018/07/mcc-1.jpg
BF2 BLT NITROGEN VALVES,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-nitrogenvalves.pdf,https://cdn0.iconfinder.com/data/icons/industry-26/128/cb-334-256.png
BF2 60 KVA UPS SCHEME,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-60-kva-ups-scheme.pdf,https://cdn3.iconfinder.com/data/icons/disaster-recovery-flat/59/006_-_UPS-256.png
BF2 ESP 180 KW SOFT STARTER,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-esp-180-kw-soft-starter.pdf,https://cdn0.iconfinder.com/data/icons/electricity-13/64/contactor-fuse-electro-electric-power-256.png
BF2 ESP 1000KW HT SOFT STARTER,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-esp-1000kw-ht-soft-starter.pdf,https://cdn0.iconfinder.com/data/icons/electricity-14/64/contactor-fuse-electro-electric-power-128.png
BF2 ESP MIGI RAPPER DISTRIBUTION,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-esp-migi-rapper-distribution.pdf,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjtdtvKPHGp9VukEuJ1paNc8SCTFI39I8_iw&usqp=CAU
BF2 ESP MICRO TAPPER,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-esp-micro-tapper.pdf,https://cdn0.iconfinder.com/data/icons/Hosting_Icons/128/control-panel-px-png.png
BF2 BLT PLC 2R1-1 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-blt-plc-2r1-1-panel.pdf,https://cdn3.iconfinder.com/data/icons/interface-filled-outline/512/1_operating_system_monitor_computer_folder_interface_decktop-256.png
BF2 BLT PLC 2R1-2 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-blt-plc-2r1-2-panel.pdf,https://cdn0.iconfinder.com/data/icons/coding-and-programming-color/64/setting-gear-window-control-panel-256.png
BF2 BLT PLC 2R1-3 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-blt-plc-2r1-3-panel.pdf,https://cdn1.iconfinder.com/data/icons/computer-hardware-529/64/Motherboard-computer-chip-cpu-electronic-256.png
BF2 CH PLC 12R1-1 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-ch-plc-12r1-1-panel.pdf,https://cdn2.iconfinder.com/data/icons/communication-media-vol-1/512/cpu_hardware_computer_processor-256.png
BF2 CH PLC 12R1-2 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-ch-plc-12r1-2-panel.pdf,https://cdn1.iconfinder.com/data/icons/communication-flat-circle-shadow-vol-2/150/computer__pc__system__cpu-256.png
BF2 CH PLC 12R1-3 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-ch-plc-12r1-3-panel.pdf,https://cdn1.iconfinder.com/data/icons/popicon-part-3/256/14-256.png
BF2 FMS PLC 1R1-1 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-fms-plc-1r1-1-panel.pdf,https://cdn0.iconfinder.com/data/icons/robotics-engineering-8/64/Microcontroller-mainboard-processor-chip-operator-256.png
BF2 FMS PLC 1R1-2 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-fms-plc-1r1-2-panel.pdf,https://cdn3.iconfinder.com/data/icons/vol-2/128/chip-256.png
BF2 FMS PLC 1R1-3 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-fms-plc-1r1-3-panel.pdf,https://cdn3.iconfinder.com/data/icons/chat-bot-blue-filled-color/300/215314424Untitled-3-256.png
BF2 FMS PLC 1R1-4 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-fms-plc-1r1-4-panel.pdf,https://cdn2.iconfinder.com/data/icons/robotics-butterscotch-vol-1/512/AI-256.png
BF2 FMS PLC 1R1-5 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-fms-plc-1r1-5-panel.pdf,https://cdn3.iconfinder.com/data/icons/science-indigo-vol-1/256/Electronics-256.png
